shed	棚子；脱落；流下
censorship	审查制度；审查
haste	匆忙；急忙；迅速
hasty	匆忙的；急促的；草率的
standpoint	立场；观点；态度
tropic	热带的；回归线
tropical	热带的；热带气候的
initiate	开始；发起；创始
initiative	倡议；主动性；新方案
terminal	终点的；末端的；晚期的
mingle	混合；交往；与…交往
blunder	愚蠢的错误；失误；犯错
career	职业；事业；生涯
portrait	肖像；画像；描写
slope	坡度；斜坡；倾斜
folk	人们；民族；民间的
wholesome	有益健康的；有益的；良性的
wholly	完全地；全然地；完全
hen	母鸡；雌鸟；鸡
recipient	接收者；接受者；得主
sacrifice	牺牲；献祭；祭品
displace	取代；替换；使…搬离
replacement	替代；替换；替代品
interpret	解释；口译；理解
orbit	轨道；天体运行轨道；循环
glide	滑行；滑动；平稳地移动
hawk	鹰；兜售；猛禽
orphan	孤儿；无父母的孩子
damn	诅咒；该死的；表示不满
damp	潮湿的；湿气；微湿
cucumber	黄瓜；冷静的人
escalate	逐步升级；加剧；恶化
sleeve	袖子；套筒；封套
vast	广阔的；巨大的；大量的
clergy	神职人员；牧师；教士
vocation	职业；天职；使命
ankle	脚踝；踝关节
fairly	相当地；公平地；公正地
parliament	议会；国会；立法院
reciprocal	互惠的；相互的；回报的
skeleton	骨架；骨骼；梗概
alert	警觉的；警惕的；机敏的
distinct	明确的；独特的；不同的
distinction	区别；荣誉；卓越
drag	拖拽；拖拉；令人厌烦的事
display	展示；显露；显示
intellectual	智力的；知识分子的；理智的
Christ	基督；耶稣基督
Christian	基督教徒；基督的；基督教的
a	一；一个；任何的
crown	皇冠；王冠；加冕
lunar	月亮的；阴历的；月球的
schedule	时间表；日程安排；计划
topic	话题；主题；题目
rival	竞争对手；对手；竞争的
flatter	恭维；奉承；使显得更好
novelty	新奇；新颖；新奇事物
remedy	治疗；补救；药物
volume	体积；音量；卷；大量
amuse	娱乐；使高兴；逗乐
stationary	静止的；不动的；稳定的
stationery	文具；办公用品；信纸
monthly	每月的；按月的；月刊
confer	授予；商议；协商
conference	会议；研讨会；讨论会
sip	小口喝；抿；啜饮
lord	领主；上帝；贵族
brook	小溪；河流；容忍
asleep	睡着的；沉睡的；麻木的
poultry	家禽；鸟类；家禽肉
source	来源；源头；根源
buffet	自助餐；冲击；打击
frontier	边境；前沿；边疆
tangle	缠结；混乱；纷乱
summit	顶峰；会议；最高点
fellow	同伴；伙伴；同志
fellowship	伙伴关系；奖学金；团体
trait	特点；特征；性格特征
retrieve	取回；恢复；重新得到
idiot	傻瓜；笨蛋；愚蠢的人
idiom	习语；成语；语言风格
eloquent	雄辩的；有口才的；动人的
cunning	狡猾的；灵巧的；奸诈的
heel	脚后跟；踵部；紧跟
robust	强健的；坚固的；有活力的
narrative	叙述的；故事；叙事文
employer	雇主；老板；企业主
employee	雇员；员工；从业人员
employment	就业；工作；雇佣
unemployment	失业；失业率；待业
guarantee	保证；担保；保证书
entrance	入口；进入；进入的行为
mend	修理；改善；弥补
army	军队；陆军；军人
audience	观众；听众；读者
imitate	模仿；效仿；仿制
imitation	模仿；仿制品；伪造
rare	稀有的；罕见的；珍贵的
rarely	很少；罕见地；不常
stretch	延伸；拉伸；伸展
grin	露齿而笑；咧嘴笑；笑容
howl	嚎叫；狂吠；嚎声
measure	测量；衡量；措施
petty	琐碎的；微不足道的；小气的
coke	可乐；焦炭；可口可乐
steady	稳定的；平稳的；坚定的
romance	浪漫；浪漫关系；爱情
sculpture	雕塑；雕刻；雕刻艺术
hazard	危险；风险；冒险
devil	魔鬼；恶魔；坏人
blog	博客；网志；个人网站
huddle	挤在一起；聚集；堆积
undo	撤销；解开；取消
bright	明亮的；聪明的；鲜艳的
format	格式；版式；安排
formation	形成；构造；阵型
balcony	阳台；楼座；栏杆
thorough	彻底的；全面的；详尽的
graph	图表；曲线图；图形
dye	染色；染料；涂料
relay	接力赛；传递；转播
vivid	生动的；鲜明的；栩栩如生的
affluent	富裕的，富有的
foul	污秽的，恶臭的；犯规的
tolerate	容忍，宽容
tolerant	宽容的，容忍的
tolerance	容忍，宽容；公差
oxygen	氧气
warmth	温暖，热情
sense	感觉，意义，意识
sensation	感觉，轰动，感觉能力
sensible	明智的，理智的；可察觉的
sensitive	敏感的，易受伤的
nonsense	胡说，废话
sphere	球体，范围，领域
hemisphere	半球，大脑半球
slack	松弛的，懈怠的，疏忽的
clockwise	顺时针方向
verdict	裁决，判决，结论
moreover	此外，而且
affiliate	隶属于，接纳为成员
expose	揭露，暴露，曝光
exposure	暴露，揭发，曝光
arithmetic	算术，计算
consent	同意，允许
consensus	共识，一致意见
elderly	年长的，老年的
sting	刺痛，叮咬，痛苦
rack	支架，折磨，肢架
trash	垃圾，废物
breast	胸部，乳房，胸膛
stalk	茎，梗；悄悄跟踪
commend	赞扬，推荐
recommend	推荐，建议
lawyer	律师
crop	作物，收获，剪短
shelter	避难所，庇护，遮蔽
crust	地壳，外壳，硬皮
suitable	合适的，适当的
denote	表示，指示，意味着
notable	显著的，著名的
reputation	名声，声誉
lab	实验室
realm	领域，范围，王国
zinc	锌
breed	品种，繁殖，养育
deliberate	深思熟虑的，故意的，谨慎的
perfection	完美，完善
bureaucracy	官僚主义，官僚体制
division	分割，部门，除法
thrift	节俭，节约
ribbon	丝带，带状物
operate	操作，运作，动手术
operation	操作，手术，运作
operational	操作上的，运行中的，实战的
operator	操作员，接线员
cooperate	合作，配合
cooperative	合作的，协作的
smooth	平滑的，顺利的，冷静的
genuine	真实的，真诚的
feature	特征，特点，容貌
assume	假设，承担，假定
assumption	假设，设想，承担
harbor	港口，庇护，藏匿
composite	复合的，合成的，组合体
contagious	有传染性的，蔓延的
venture	冒险，风险投资
sponsor	赞助商，主办，发起
grasp	抓住，理解，领会
contemporary	当代的，现代的，同龄人
bull	公牛，暴涨，夸大
bully	欺凌，恶霸，威胁
extinct	灭绝的，绝种的
menace	威胁，恐吓，危险人物
fare	费用，饮食，进展
farewell	告别，辞行
warfare	战争，战争状态
dump	倾倒，垃圾堆，丢弃
terminate	终止，结束，解雇
praise	赞扬，称赞
misery	痛苦，困苦，悲惨
miserable	悲惨的，痛苦的，糟糕的
satisfaction	满意，满足，愉快
satisfactory	令人满意的，符合要求的
tub	浴缸，桶
haul	拉，拖，搬运
tax	税，征税
merge	合并，融合
glove	手套
probe	探查，探针，调查
opportunity	机会，时机
eagle	鹰，鹰嘴
grind	磨碎，碾磨，压迫
pub	酒吧，公共小酒馆
stadium	体育场，运动场
discrepancy	不一致，差异
plantation	种植园，栽培
recite	背诵，列举，朗诵
invest	投资，投入
investment	投资，投资额
desolate	荒凉的，孤独的，凄凉的
crowd	人群，聚集
catalog	目录，编目，登记
promote	促进，推广，晋升
artery	动脉，要道
momentum	动量，势头，冲力
alloy	合金，混合物
pill	药丸，药片
tilt	倾斜，偏斜
perplex	使困惑，使为难
blame	责备，归咎
constant	恒定的，持续的，常数
passenger	乘客，旅客
norm	规范，标准
abnormal	反常的，不正常的
normalization	正常化
van	面包车，货车
wipe	擦拭，抹去
augment	增加，扩大
dome	圆顶，穹顶
arise	出现，发生，升起
wooden	木制的，呆板的
golden	金色的，黄金的，宝贵的
colleague	同事，伙伴
appendix	附录，阑尾
brutal	残忍的，野蛮的，粗暴的
pillar	柱子，支柱，支持
payment	支付，付款
repay	偿还，报答
myth	神话，传说，虚构
lean	瘦的，精益的，倾斜
liable	有责任的，易于……的
liability	责任，义务，债务
peninsula	半岛
dividend	股息，红利，回报
refresh	刷新，振作，恢复
refreshment	茶点，恢复
grain	谷物，颗粒，纹理
crude	粗糙的，原始的，天然的
root	根，根源，起源
typical	典型的，常见的，标准的
typist	打字员，文书
separate	分开，独立的，单独的
humble	谦逊的，低调的，卑微的
chapter	章节，篇章
legend	传说，传奇
linger	徘徊，拖延
flush	冲刷，脸红，旺盛
flash	闪光，闪现，突然出现
metric	公制的，计量的
wedge	楔子， wedge形物，造成分歧
sophomore	大学二年级学生，二年级的
confront	面对，面对面，迎面遇到
persecute	迫害，虐待
jealous	嫉妒的，羡慕的
conceive	设想，怀孕，构思
sob	呜咽，抽泣
evaluate	评估，评价，鉴定
accidental	偶然的，意外的
pathetic	可怜的，悲惨的
literary	文学的，书面的
literature	文学，文献，资料
illiterate	文盲的，不识字的
literacy	读写能力，识字
symposium	研讨会，专题讨论会
bacterium	细菌，单细胞微生物
squirrel	松鼠
sample	样本，范例
sneak	偷偷摸摸，鬼鬼祟祟
consult	咨询，商讨
consultant	顾问，咨询师
messenger	信使，传递者
label	标签，商标，称呼
hedge	树篱，障碍，避免
category	类别，种类
dazzle	使目眩，耀眼的
critic	评论家，批评家
criticize	批评，指责
critical	关键的，严重的，挑剔的
criticism	批评，指责，评论
brass	黄铜，铜器，厚脸皮
theoretical	理论的，假设的
idle	闲置的，空闲的，懒散的
resort	度假胜地，诉诸，依赖
elastic	有弹性的，灵活的
soak	浸泡，吸收
agent	代理人，媒介，因子
agency	代理，机构，服务
vanity	虚荣，自负
bay	海湾，湾区
character	特征，性格，角色
characterize	描述……的特征，具有……特点
characteristic	特点，特征，典型的
recall	召回，回忆，撤销
blush	脸红，羞愧
investigate	调查，研究，审查
antenna	天线，触角
herb	草本植物，药草
material	材料，物质，重要的
renew	更新，续订，恢复
paperback	平装书
summon	召唤，召集，传唤
global	全球的，综合的
globalization	全球化
ivory	象牙，象牙色
belt	腰带，带状物，地带
dock	码头，船坞，减扣
upright	直立的，正直的
uphold	支持，维持，维护
upper	上面的，上层的
bundle	捆，束，包
yell	喊叫，叫喊
hysterical	歇斯底里的，极度焦虑的
trial	审判，试验，考验
nerve	神经，勇气，紧张
welfare	福利，福祉
nephew	侄子，外甥
niece	侄女，外甥女
individual	个人的，个体的
deny	否认，拒绝
denial	否认，拒绝，拒绝承认
pipe	管道，烟斗
bat	蝙蝠，球棒
consolidate	巩固，合并，强化
burden	负担，责任，包袱
elite	精英，杰出群体
abuse	虐待，滥用，辱骂
usage	使用，习惯用法
hook	钩子，钩住，吸引
isle	小岛，岛屿
advent	到来，出现，降临
jail	监狱，监禁
gear	齿轮，装备，准备
bucket	水桶，吊桶
murder	谋杀，凶杀
govern	治理，管理，支配
government	政府，政权，政治
governor	州长，主管，管理者
brand	品牌，商标，烙印
valve	阀门，瓣膜，管制
cannon	大炮，火炮
seemingly	表面上，看似
justice	正义，公正，法官
justify	辩护，证明……是正当的
route	路线，途径，路由
relish	享受，喜好，品味
oven	烤箱，炉子
safeguard	保护，保卫，防护
pilgrim	朝圣者，开拓者
instance	例子，情况，实例
fell	残忍的，凶猛的，砍倒
spacious	宽敞的，广阔的
snobbish	势利的，骄傲的
fist	拳头
prohibit	禁止，阻止
rear	后部，抚养，养育
hinge	铰链，转折点，依赖于
chairman	主席，董事长
retort	反驳，回嘴，反击
baggage	行李，负担
glow	发光，光辉，喜悦
relieve	缓解，减轻，解除
incidence	发生率，事件，影响
incidentally	顺便提一下，偶然地
rope	绳子，捆绑，系住
impatient	不耐烦的，急躁的
evacuate	撤离，疏散，排空
pillow	枕头，软垫
arbitrary	随意的，武断的
peep	窥视，偷看，轻声说
feasible	可行的，可能的
chart	图表，航图，记录
charter	特许状，宪章，包租
credential	凭证，证书，资质
breadth	宽度，广度，范围
broad	宽广的，广泛的
broadcast	广播，传播，播送
abroad	国外，在国外
clap	拍手，鼓掌，轻拍
medal	奖牌，勋章
supreme	至高的，最高的
bush	灌木丛，丛林
spin	旋转，纺织，灾难
roast	烘烤，烤，严厉批评
bump	撞击，肿块，颠簸
queue	排队，队列
fashionable	时尚的，流行的
capable	有能力的，能干的
capacity	容量，能力，生产力
downtown	市中心的，商业区的
